candidate_id,source,composer_normalized,title,actual_grade,actual_grade_source,predicted_grade,model_version,p_G3,p_G5,p_G6,p_G7,p_G8,p_G9
guitarloot:Scores/EnglishMusic/Dowland/GalliardP82Gtr,guitarloot,John Dowland/Francis Cutting,Galliard,8,delcamp:guitarloot,8,dummy-v0,0.047,0.105,0.278,0.204,0.366,0.001
guitarloot:Scores/EnglishMusic/Dowland/GoWindowGtr.iPad,guitarloot,John Dowland,Go From My Window,8,delcamp:guitarloot,7,dummy-v0,0.006,0.135,0.148,0.518,0.194,0.000
guitarloot:Scores/EnglishMusic/Dowland/HobieGallGtrAS,guitarloot,John Dowland,Giles Hobie's Galliard,8,delcamp:guitarloot,8,dummy-v0,0.002,0.113,0.134,0.258,0.479,0.016
guitarloot:Scores/EnglishMusic/Dowland/JSmithAlmaineGtrAS,guitarloot,John Dowland,Sir John Smith his Almaine (Poulton 47),8,delcamp:guitarloot,7,dummy-v0,0.000,0.125,0.203,0.340,0.330,0.001
guitarloot:Scores/EnglishMusic/Dowland/LachrimaeGalliardGtrf.iPad,guitarloot,John Dowland,Galliard to Lachrimae,8,delcamp:guitarloot,8,dummy-v0,0.000,0.042,0.096,0.167,0.695,0.000
guitarloot:Scores/EnglishMusic/Dowland/LangtonGallGtrA,guitarloot,John Dowland,Mr Langton's Galliard,8,delcamp:guitarloot,7,dummy-v0,0.001,0.080,0.163,0.365,0.316,0.075
guitarloot:Scores/EnglishMusic/Dowland/LisleGtr,guitarloot,John Dowland,"The Lord Viscount Lisle, His Galliard",8,delcamp:guitarloot,8,dummy-v0,0.031,0.128,0.232,0.207,0.398,0.005
guitarloot:Scores/EnglishMusic/Dowland/LothDepartGtr,guitarloot,John Dowland,Loth to Depart (Poulton 69),8,delcamp:guitarloot,7,dummy-v0,0.009,0.106,0.181,0.396,0.165,0.142
guitarloot:Scores/EnglishMusic/Dowland/MelancholyGalliardGtrDiPad,guitarloot,John Dowland,Melancholy Galliard (Poulton 25),8,delcamp:guitarloot,8,dummy-v0,0.004,0.084,0.191,0.310,0.410,0.000
guitarloot:Scores/EnglishMusic/Dowland/MignardaEGtr,guitarloot,John Dowland,Mignarda (M. Henry Noel's Galliard),8,delcamp:guitarloot,8,dummy-v0,0.003,0.086,0.130,0.280,0.481,0.019
guitarloot:Scores/EnglishMusic/Dowland/NoTitleP51.iPad,guitarloot,John Dowland,A Piece Without Title (Poulton 51),8,delcamp:guitarloot,7,dummy-v0,0.022,0.122,0.254,0.305,0.290,0.007
guitarloot:Scores/EnglishMusic/Dowland/P58ShoemakersWife,guitarloot,John Dowland,The Shoemaker's Wife,8,delcamp:guitarloot,8,dummy-v0,0.062,0.148,0.212,0.179,0.397,0.002
guitarloot:Scores/EnglishMusic/Dowland/PavanP94Gtr,guitarloot,Attr. John Dowland,Pavan,8,delcamp:guitarloot,9,dummy-v0,0.001,0.017,0.014,0.158,0.370,0.440
guitarloot:Scores/EnglishMusic/Dowland/PraeGtr,guitarloot,Attr. John Dowland,Praeambulum,8,delcamp:guitarloot,7,dummy-v0,0.005,0.226,0.236,0.377,0.157,0.000
guitarloot:Scores/EnglishMusic/Dowland/Preludium98EGtr,guitarloot,John Dowland,Preludium,8,delcamp:guitarloot,8,dummy-v0,0.057,0.188,0.240,0.186,0.327,0.001
guitarloot:Scores/EnglishMusic/Dowland/RobinGtr,guitarloot,John Dowland,Robin,8,delcamp:guitarloot,6,dummy-v0,0.014,0.202,0.296,0.234,0.249,0.005
guitarloot:Scores/EnglishMusic/Dowland/SolusCumSolaGtriPad,guitarloot,John Dowland,Solus cum Sola,8,delcamp:guitarloot,7,dummy-v0,0.080,0.022,0.059,0.401,0.271,0.167
guitarloot:Scores/EnglishMusic/Dowland/SolusSineSolaGtrA,guitarloot,John Dowland,Brigide Fleetwood's Pavan (Solus Sine Sola),8,delcamp:guitarloot,8,dummy-v0,0.022,0.023,0.021,0.377,0.455,0.102
guitarloot:Scores/EnglishMusic/Dowland/TarletonJigGtr,guitarloot,John Dowland,Tarleton's Jig,8,delcamp:guitarloot,6,dummy-v0,0.017,0.328,0.360,0.130,0.165,0.001
guitarloot:Scores/EnglishMusic/Dowland/WhatDay79.Gtr.iPad,guitarloot,John Dowland,What If A Day,8,delcamp:guitarloot,6,dummy-v0,0.054,0.137,0.334,0.190,0.267,0.018
guitarloot:Scores/EnglishMusic/ELB//Sellinger,guitarloot,Anon,Sellinger's Round,5,delcamp:guitarloot,6,dummy-v0,0.002,0.188,0.561,0.117,0.122,0.011
guitarloot:Scores/EnglishMusic/ELB/06v.BlundevillesPavane.GtrV5,guitarloot,William Hollis,John Blundevilles Last Farewell (Pavan),8,delcamp:guitarloot,8,dummy-v0,0.008,0.042,0.036,0.116,0.667,0.131
guitarloot:Scores/EnglishMusic/ELB/07.GalliardAnonHirschGtr,guitarloot,Anon. Hisch Lute book f.4,Galliard 7,4,delcamp:guitarloot,6,dummy-v0,0.015,0.191,0.400,0.374,0.020,0.000
guitarloot:Scores/EnglishMusic/ELB/10v.Prelude.GtrD,guitarloot,Anon (Cosens Lute Book,Prelude,5,delcamp:guitarloot,5,dummy-v0,0.004,0.386,0.237,0.196,0.175,0.000
guitarloot:Scores/EnglishMusic/ELB/11.Galliard.HirschAnon.Gtr,guitarloot,Anon,Galliard 11,4,delcamp:guitarloot,6,dummy-v0,0.048,0.229,0.288,0.181,0.249,0.005
guitarloot:Scores/EnglishMusic/ELB/133Grimstock.Gtr,guitarloot,Anon,Grimstock,6,delcamp:guitarloot,6,dummy-v0,0.056,0.322,0.399,0.111,0.112,0.000
guitarloot:Scores/EnglishMusic/ELB/26vMallSimsPickeringGtr,guitarloot,Anon. ? Hans Leo Hassler,Mall Sims,7,delcamp:guitarloot,7,dummy-v0,0.001,0.009,0.062,0.423,0.217,0.288
guitarloot:Scores/EnglishMusic/ELB/29bAllemandeEGtr,guitarloot,"Anon, Pickering Lute Book",Allemande,7,delcamp:guitarloot,8,dummy-v0,0.004,0.204,0.183,0.167,0.427,0.015
guitarloot:Scores/EnglishMusic/ELB/33.GalliardGtrRev,guitarloot,Anon. (Cosens Lute Book,Galliard,5,delcamp:guitarloot,8,dummy-v0,0.001,0.201,0.152,0.272,0.369,0.005
guitarloot:Scores/EnglishMusic/ELB/34v.SmythPavaneGtr,guitarloot,Thomas Smyth,Pavane,8,delcamp:guitarloot,5,dummy-v0,0.004,0.314,0.197,0.183,0.280,0.021
guitarloot:Scores/EnglishMusic/ELB/35b.SmythGalliard.Gtr,guitarloot,Thomas Smyth,Galliard,8,delcamp:guitarloot,8,dummy-v0,0.001,0.167,0.164,0.261,0.400,0.007
guitarloot:Scores/EnglishMusic/ELB/36v.LachrimaeGtrCK,guitarloot,"Anon ""CK"" (Cosens Lute Book",Lachrimae Pavan CK,5,delcamp:guitarloot,7,dummy-v0,0.010,0.029,0.200,0.495,0.228,0.037
guitarloot:Scores/EnglishMusic/ELB/39.CKFantasy.Gtr,guitarloot,"Anon ""CK"" (Cosens Lute Book",Fantasy,5,delcamp:guitarloot,7,dummy-v0,0.003,0.141,0.119,0.459,0.235,0.044
guitarloot:Scores/EnglishMusic/ELB/39AnonCourante,guitarloot,"Anon, Pickering Lute Book",Courante (39),7,delcamp:guitarloot,5,dummy-v0,0.001,0.411,0.096,0.161,0.313,0.018
guitarloot:Scores/EnglishMusic/ELB/40AnonAllemandeGtrV2,guitarloot,"Anon, Pickering Lute Book",Allemande (40r),7,delcamp:guitarloot,8,dummy-v0,0.000,0.141,0.026,0.118,0.441,0.274
guitarloot:Scores/EnglishMusic/ELB/42.CavendishGalliard.Gtr,guitarloot,Michael Cavendish,Cavendish Galliard,8,delcamp:guitarloot,5,dummy-v0,0.002,0.448,0.170,0.154,0.223,0.002
guitarloot:Scores/EnglishMusic/ELB/44CouranteGaultier,guitarloot,?Gaultier,Courante,7,delcamp:guitarloot,5,dummy-v0,0.017,0.410,0.119,0.082,0.372,0.000
guitarloot:Scores/EnglishMusic/ELB/45vAnonAllemandeGtr,guitarloot,"Anon, Pickering Lute Book",Allemande (45v),7,delcamp:guitarloot,8,dummy-v0,0.002,0.188,0.186,0.188,0.432,0.004
guitarloot:Scores/EnglishMusic/ELB/46AnonAllemandeGtr,guitarloot,"Anon, Pickering Lute Book",Allemande (46),7,delcamp:guitarloot,8,dummy-v0,0.024,0.110,0.162,0.212,0.491,0.000
guitarloot:Scores/EnglishMusic/ELB/46bAnonSarabande,guitarloot,"Anon, Pickering Lute Book",Sarabande,7,delcamp:guitarloot,8,dummy-v0,0.003,0.297,0.187,0.157,0.354,0.002
guitarloot:Scores/EnglishMusic/ELB/46v.LadyNorthsGalliardE.Gtr,guitarloot,Anon,Lady North's Galliard,5,delcamp:guitarloot,8,dummy-v0,0.024,0.235,0.153,0.234,0.345,0.009
guitarloot:Scores/EnglishMusic/ELB/46vSarabande,guitarloot,"Germain Pinel, Pickering Lute Book",Le Sarabande,7,delcamp:guitarloot,5,dummy-v0,0.009,0.322,0.240,0.215,0.213,0.000
guitarloot:Scores/EnglishMusic/ELB/47SmythGalliard.Gtr,guitarloot,Thomas Smyth,Galliard,8,delcamp:guitarloot,8,dummy-v0,0.002,0.161,0.249,0.271,0.310,0.007
guitarloot:Scores/EnglishMusic/ELB/47v.VautorAllemandeGtr,guitarloot,Thomas Vautor (Cosens Lute Book,Allemande,8,delcamp:guitarloot,8,dummy-v0,0.005,0.225,0.280,0.143,0.348,0.000
guitarloot:Scores/EnglishMusic/ELB/48GaultierNightingaleGtr,guitarloot,Gaultier,Nightingale,7,delcamp:guitarloot,7,dummy-v0,0.000,0.091,0.080,0.603,0.226,0.000
guitarloot:Scores/EnglishMusic/ELB/50.gtGalliard.Gtr,guitarloot,Anon. ?Thomas Smyth,Galliard,8,delcamp:guitarloot,8,dummy-v0,0.001,0.217,0.207,0.124,0.428,0.023
guitarloot:Scores/EnglishMusic/ELB/50vJigGtr,guitarloot,"Anon, Pickering Lute Book",Jig,7,delcamp:guitarloot,5,dummy-v0,0.008,0.409,0.146,0.076,0.347,0.014
guitarloot:Scores/EnglishMusic/ELB/51HornpipeGtr,guitarloot,"Anon, Pickering Lute Book",Hornpipe,7,delcamp:guitarloot,5,dummy-v0,0.019,0.291,0.249,0.169,0.271,0.000
guitarloot:Scores/EnglishMusic/ELB/Alman13Gtr,guitarloot,Anon; Willoughby Lute Book ff.17v-18r,13. Alman,7,delcamp:guitarloot,6,dummy-v0,0.072,0.155,0.314,0.234,0.225,0.001
guitarloot:Scores/EnglishMusic/ELB/Anthony3v2,guitarloot,?Anthony de Countie,Anthony Pavan,7,delcamp:guitarloot,7,dummy-v0,0.008,0.168,0.145,0.582,0.097,0.000
guitarloot:Scores/EnglishMusic/ELB/Anthony4v2,guitarloot,?Anthony de Countie,Anthony Pavan,7,delcamp:guitarloot,7,dummy-v0,0.001,0.081,0.241,0.570,0.106,0.000
guitarloot:Scores/EnglishMusic/ELB/BellAlmayneEGtr,guitarloot,Margaret Board Lute Book f.31,Bell Almayne,5,delcamp:guitarloot,5,dummy-v0,0.001,0.345,0.084,0.195,0.327,0.047
guitarloot:Scores/EnglishMusic/ELB/BrewsterPavan.iPad,guitarloot,Anon,Brewster's Pavan,7,delcamp:guitarloot,3,dummy-v0,0.539,0.053,0.174,0.093,0.140,0.001
guitarloot:Scores/EnglishMusic/ELB/ChacogneGtrRev,guitarloot,Anon,Chacogne,5,delcamp:guitarloot,5,dummy-v0,0.000,0.490,0.065,0.327,0.119,0.000
guitarloot:Scores/EnglishMusic/ELB/ChaconeRobartsGtrWeb,guitarloot,Anon,Chacone,4,delcamp:guitarloot,5,dummy-v0,0.000,0.474,0.005,0.452,0.064,0.005
guitarloot:Scores/EnglishMusic/ELB/CorantoBGtr,guitarloot,Anon,Coranto,5,delcamp:guitarloot,5,dummy-v0,0.003,0.415,0.229,0.220,0.133,0.001
guitarloot:Scores/EnglishMusic/ELB/DelacourtGtrAS,guitarloot,Anon,The Delacourt Pavan,5,delcamp:guitarloot,6,dummy-v0,0.007,0.274,0.432,0.134,0.146,0.006
guitarloot:Scores/EnglishMusic/ELB/Doompe,guitarloot,Anon,A Doomp,6,delcamp:guitarloot,6,dummy-v0,0.025,0.287,0.407,0.116,0.164,0.000
guitarloot:Scores/EnglishMusic/ELB/Eglantine,guitarloot,Anon,The Eglantine Branche,5,delcamp:guitarloot,6,dummy-v0,0.010,0.183,0.336,0.230,0.242,0.000
guitarloot:Scores/EnglishMusic/ELB/Fantasia29Gtr,guitarloot,Anon: Hirsch Lute Book,Fantasy 29,4,delcamp:guitarloot,6,dummy-v0,0.044,0.257,0.426,0.161,0.112,0.001
guitarloot:Scores/EnglishMusic/ELB/FantasieGtrRev.iPad,guitarloot,Anon,Fansie (Fantasia),7,delcamp:guitarloot,7,dummy-v0,0.002,0.188,0.360,0.383,0.060,0.007
guitarloot:Scores/EnglishMusic/ELB/Fantasy51AnonGtrA,guitarloot,Anon: Hirsch Lute Book,51. Fantasy,4,delcamp:guitarloot,7,dummy-v0,0.034,0.174,0.174,0.285,0.236,0.098
guitarloot:Scores/EnglishMusic/ELB/FlatPavan.Gtr,guitarloot,Anon,The Flat Pavan,6,delcamp:guitarloot,3,dummy-v0,0.761,0.016,0.111,0.033,0.079,0.000
guitarloot:Scores/EnglishMusic/ELB/FrenchTuneEGtr,guitarloot,? P Guedron,The French Tune,6,delcamp:guitarloot,5,dummy-v0,0.020,0.341,0.322,0.120,0.197,0.000
guitarloot:Scores/EnglishMusic/ELB/GallFlat.Gtr,guitarloot,Anon,Galliard to the Flat Pavan,6,delcamp:guitarloot,6,dummy-v0,0.089,0.097,0.398,0.217,0.199,0.000
guitarloot:Scores/EnglishMusic/ELB/Galliard15Gtr,guitarloot,Anon,Galliard,7,delcamp:guitarloot,6,dummy-v0,0.080,0.197,0.393,0.167,0.163,0.001
guitarloot:Scores/EnglishMusic/ELB/Gillyflower,guitarloot,Anon,Gillyflower,5,delcamp:guitarloot,5,dummy-v0,0.091,0.464,0.210,0.064,0.169,0.002
guitarloot:Scores/EnglishMusic/ELB/Ground19Gtr,guitarloot,Anon: Hirsch Lute Book,19.Ground,4,delcamp:guitarloot,8,dummy-v0,0.003,0.239,0.205,0.166,0.387,0.000
guitarloot:Scores/EnglishMusic/ELB/Halls%20Galliard,guitarloot,?Richard Green,Hall's Galliard,7,delcamp:guitarloot,5,dummy-v0,0.016,0.318,0.309,0.159,0.197,0.001
guitarloot:Scores/EnglishMusic/ELB/JoaneMaypole,guitarloot,Anon,Joane to the Maypole,5,delcamp:guitarloot,5,dummy-v0,0.005,0.367,0.300,0.173,0.155,0.000
guitarloot:Scores/EnglishMusic/ELB/JohnKissNowGtr,guitarloot,Anon,John Come Kiss Me Now,6,delcamp:guitarloot,9,dummy-v0,0.046,0.201,0.210,0.194,0.082,0.268
guitarloot:Scores/EnglishMusic/ELB/MadTom,guitarloot,Anon,Mad Tom of Bedlam,6,delcamp:guitarloot,7,dummy-v0,0.000,0.108,0.332,0.412,0.149,0.000
guitarloot:Scores/EnglishMusic/ELB/MarshSellGtr,guitarloot,Anon,Sellenger's Round,6,delcamp:guitarloot,8,dummy-v0,0.144,0.139,0.275,0.120,0.321,0.001
guitarloot:Scores/EnglishMusic/ELB/New%20Almaine,guitarloot,Anon,A New Almaine,7,delcamp:guitarloot,3,dummy-v0,0.396,0.049,0.224,0.187,0.132,0.013
guitarloot:Scores/EnglishMusic/ELB/Pavan.Dd.5.78.Gtr,guitarloot,Anon 16th Century,Pavan (Dd.5.78.3;1v-2r),6,delcamp:guitarloot,3,dummy-v0,0.649,0.069,0.135,0.057,0.080,0.010
guitarloot:Scores/EnglishMusic/ELB/QuandoClaroGtr.iPad,guitarloot,Anon,"Quando Claro, Quando Claro?",7,delcamp:guitarloot,7,dummy-v0,0.002,0.167,0.170,0.370,0.234,0.057
guitarloot:Scores/EnglishMusic/ELB/SoucheGtr,guitarloot,Anon,Lord Souches Maske,6,delcamp:guitarloot,6,dummy-v0,0.145,0.298,0.302,0.108,0.133,0.014
guitarloot:Scores/EnglishMusic/ELB/StrangeGallGtr,guitarloot,Anon,Lord Strang's Galliard,6,delcamp:guitarloot,8,dummy-v0,0.022,0.119,0.233,0.246,0.377,0.003
guitarloot:Scores/EnglishMusic/ELB/Teares8Gtr.iPad,guitarloot,Anon 16th Century,Mrs EB Teares,6,delcamp:guitarloot,8,dummy-v0,0.027,0.089,0.114,0.190,0.455,0.124
guitarloot:Scores/EnglishMusic/ELB/Teares9Gtr.iPad,guitarloot,Anon. 16th century,Teares (A Lament),6,delcamp:guitarloot,8,dummy-v0,0.048,0.074,0.043,0.239,0.394,0.202
guitarloot:Scores/EnglishMusic/ELB/TomBedlamGtr,guitarloot,Anon,Poor Tom of Bedlam,6,delcamp:guitarloot,6,dummy-v0,0.006,0.209,0.355,0.259,0.171,0.000
guitarloot:Scores/EnglishMusic/ELB/Woodbynde,guitarloot,Anon,The Wood Bynde,5,delcamp:guitarloot,6,dummy-v0,0.026,0.188,0.367,0.218,0.201,0.001
guitarloot:Scores/EnglishMusic/Ferrabosco/BandFant1Gtr.iPad,guitarloot,Alfonso Ferrabosco 1,Bandora Fantasia No.1,7,delcamp:guitarloot,9,dummy-v0,0.014,0.051,0.082,0.190,0.142,0.520
guitarloot:Scores/EnglishMusic/Ferrabosco/BandFant2.iPad,guitarloot,Alfonso Ferrabosco 1,Bandora Fantasia No.2,7,delcamp:guitarloot,7,dummy-v0,0.036,0.041,0.290,0.363,0.269,0.002
guitarloot:Scores/EnglishMusic/Ferrabosco/BandFant4Gtr.iPad,guitarloot,Alfonso Ferrabosco I,BANDORA FANTASIA No.4,7,delcamp:guitarloot,7,dummy-v0,0.002,0.114,0.169,0.375,0.334,0.006
guitarloot:Scores/EnglishMusic/Ferrabosco/BandPavGtr,guitarloot,Alfonso Ferrabosco 1,Bandora Pavan,7,delcamp:guitarloot,7,dummy-v0,0.027,0.038,0.286,0.471,0.176,0.001
guitarloot:Scores/EnglishMusic/Ferrabosco/Pavan(Varietie)Gtr.iPad,guitarloot,Alfonso Ferrabosco,Lute Pavan No.1,7,delcamp:guitarloot,7,dummy-v0,0.006,0.045,0.143,0.441,0.364,0.000
guitarloot:Scores/EnglishMusic/Holborne/44%20AlmaineGtr,guitarloot,Anthony Holborne,Lute Almaine (The Choyce),6,delcamp:guitarloot,6,dummy-v0,0.038,0.211,0.383,0.160,0.207,0.000
guitarloot:Scores/EnglishMusic/Holborne/47HollyGtr,guitarloot,Anthony Holborne,As it fell on a Holiday*,6,delcamp:guitarloot,6,dummy-v0,0.042,0.292,0.356,0.160,0.149,0.000
guitarloot:Scores/EnglishMusic/Holborne/BandFant1.Gtr.iPad,guitarloot,Anthony Holborne,Bandora Fantasia 1,6,delcamp:guitarloot,8,dummy-v0,0.035,0.213,0.151,0.255,0.336,0.010
guitarloot:Scores/EnglishMusic/Holborne/BandFant2.Gtr.Arr,guitarloot,Anthony Holborne,Bandora Fantasia 2,6,delcamp:guitarloot,7,dummy-v0,0.000,0.022,0.092,0.804,0.082,0.000
guitarloot:Scores/EnglishMusic/Holborne/BandFant3.iPad,guitarloot,Anthony Holborne,Bandora Fantasia 3,6,delcamp:guitarloot,6,dummy-v0,0.043,0.142,0.300,0.293,0.218,0.004
guitarloot:Scores/EnglishMusic/Holborne/BandFant4.iPad,guitarloot,Anthony Holborne,Bandora Fantasia 4,6,delcamp:guitarloot,7,dummy-v0,0.007,0.194,0.214,0.381,0.201,0.003
guitarloot:Scores/EnglishMusic/Holborne/BandGall1Gtr,guitarloot,Anthony Holborne,Bandora Galliard 1 - Lullaby,6,delcamp:guitarloot,8,dummy-v0,0.002,0.236,0.249,0.168,0.344,0.002
guitarloot:Scores/EnglishMusic/Holborne/BandGall2Gtr,guitarloot,Anthony Holborne,Bandora Galliard 2,6,delcamp:guitarloot,6,dummy-v0,0.023,0.187,0.482,0.114,0.193,0.000
guitarloot:Scores/EnglishMusic/Holborne/BandPav2Gtr,guitarloot,Anthony Holborne,Bandora Pavan 2,6,delcamp:guitarloot,6,dummy-v0,0.050,0.182,0.475,0.097,0.163,0.033
guitarloot:Scores/EnglishMusic/Holborne/BandPav3Gtr,guitarloot,Anthony Holborne,Bandora Pavan 3,6,delcamp:guitarloot,6,dummy-v0,0.075,0.129,0.504,0.123,0.167,0.002
guitarloot:Scores/EnglishMusic/Holborne/BandPav4Gtr,guitarloot,Anthony Holborne,Bandora Pavan 4,6,delcamp:guitarloot,8,dummy-v0,0.009,0.100,0.253,0.276,0.362,0.000
guitarloot:Scores/EnglishMusic/Holborne/BandPav5Gtr.iPad,guitarloot,Anthony Holborne,Bandora Pavan 5,6,delcamp:guitarloot,7,dummy-v0,0.011,0.093,0.194,0.367,0.314,0.021
guitarloot:Scores/EnglishMusic/Holborne/BandPav6Gtr,guitarloot,Anthony Holborne,Bandora Pavan 6,6,delcamp:guitarloot,6,dummy-v0,0.081,0.148,0.368,0.146,0.257,0.001
guitarloot:Scores/EnglishMusic/Holborne/BondGallGtr,guitarloot,Anthony Holborne,Mr. Bond's Galliard (Nec Invideo),6,delcamp:guitarloot,6,dummy-v0,0.005,0.320,0.356,0.124,0.192,0.002
guitarloot:Scores/EnglishMusic/Holborne/ChosesGtrArev2.iPad,guitarloot,Anthony Holborne,Tres Choses,6,delcamp:guitarloot,8,dummy-v0,0.001,0.023,0.064,0.269,0.581,0.062
guitarloot:Scores/EnglishMusic/Holborne/ClarkesGalliard.Gtr,guitarloot,Anthony Holborne,Clarke's Galliard,6,delcamp:guitarloot,6,dummy-v0,0.025,0.165,0.419,0.247,0.143,0.000
guitarloot:Scores/EnglishMusic/Holborne/CradleConceitsGtrAS,guitarloot,Anthony Holborne,Pavan - The Cradle of Conceits,6,delcamp:guitarloot,3,dummy-v0,0.567,0.024,0.072,0.097,0.146,0.095
guitarloot:Scores/EnglishMusic/Holborne/FairyRound.Gtr,guitarloot,Anthony Holborne,The Fairy Round,6,delcamp:guitarloot,6,dummy-v0,0.067,0.243,0.342,0.142,0.198,0.008
guitarloot:Scores/EnglishMusic/Holborne/FantasyHolb01GtrAlt,guitarloot,Anthoy Holborne,Lute Fantasia 1,6,delcamp:guitarloot,7,dummy-v0,0.054,0.046,0.180,0.360,0.340,0.020
guitarloot:Scores/EnglishMusic/Holborne/Farewell.Gtr.Arr,guitarloot,Anthony Holborne,Galliard - Farewell,6,delcamp:guitarloot,6,dummy-v0,0.019,0.257,0.435,0.144,0.143,0.003
guitarloot:Scores/EnglishMusic/Holborne/Galliard.PassionGtr,guitarloot,Anthony Holborne,Passion (Galliard),6,delcamp:guitarloot,6,dummy-v0,0.010,0.281,0.399,0.123,0.187,0.001
guitarloot:Scores/EnglishMusic/Holborne/Galliard16Gtr,guitarloot,Anthony Holborne,Galliard 16,6,delcamp:guitarloot,8,dummy-v0,0.005,0.220,0.242,0.181,0.352,0.000
guitarloot:Scores/EnglishMusic/Holborne/Galliard17gtr,guitarloot,Anthony Holborne,Galliard 17,6,delcamp:guitarloot,6,dummy-v0,0.036,0.283,0.333,0.148,0.200,0.000
guitarloot:Scores/EnglishMusic/Holborne/GroundGtr,guitarloot,Anthony Holborne,A Ground,6,delcamp:guitarloot,6,dummy-v0,0.105,0.064,0.349,0.191,0.291,0.000
guitarloot:Scores/EnglishMusic/Holborne/HeartseaseGtr,guitarloot,Anthony Holborne,Heart's Ease (Almain),6,delcamp:guitarloot,6,dummy-v0,0.010,0.233,0.370,0.234,0.153,0.000
guitarloot:Scores/EnglishMusic/Holborne/HeresPaternusGtr,guitarloot,Anthony Holborne,Pavan - Heres Paternus,6,delcamp:guitarloot,7,dummy-v0,0.000,0.030,0.127,0.682,0.161,0.000
guitarloot:Scores/EnglishMusic/Holborne/NightWatch.iPad,guitarloot,Anthony Holborne,The Night Watch,6,delcamp:guitarloot,8,dummy-v0,0.002,0.220,0.219,0.230,0.324,0.005
guitarloot:Scores/EnglishMusic/Holborne/PavanBonaSperenzaGtr,guitarloot,Anthony Holborne,Pavan - Bona Sperenza,6,delcamp:guitarloot,6,dummy-v0,0.015,0.114,0.427,0.253,0.191,0.000
guitarloot:Scores/EnglishMusic/Holborne/PembPavRev.iPad,guitarloot,Anthony Holborne,Pavan - The Countess of Pembroke's Paradise,6,delcamp:guitarloot,8,dummy-v0,0.192,0.117,0.229,0.164,0.297,0.001
guitarloot:Scores/EnglishMusic/Holborne/ReadeAlmaine.Gtr,guitarloot,Anthony Holborne,Lute Almaine 4 (Reade's Almaine),6,delcamp:guitarloot,8,dummy-v0,0.002,0.111,0.320,0.228,0.338,0.000
guitarloot:Scores/EnglishMusic/Holborne/ResponseGalliardGtr,guitarloot,Anthony Holborne,Response Galliard,6,delcamp:guitarloot,5,dummy-v0,0.017,0.282,0.172,0.215,0.278,0.036
guitarloot:Scores/EnglishMusic/Holborne/TearsMusesGtrArr,guitarloot,Anthony Holborne,Tears of the Muses (Galliard),6,delcamp:guitarloot,7,dummy-v0,0.004,0.109,0.236,0.338,0.314,0.000
guitarloot:Scores/EnglishMusic/Holborne/VarGordianGtrAS,guitarloot,Anthony Holborne,The Gordian Knot,6,delcamp:guitarloot,8,dummy-v0,0.031,0.035,0.254,0.299,0.379,0.000
guitarloot:Scores/EnglishMusic/Holborne/Will2EGtr,guitarloot,Anthony Holborne,Pavan - Last Will and Testament,6,delcamp:guitarloot,7,dummy-v0,0.004,0.183,0.276,0.378,0.159,0.000
guitarloot:Scores/EnglishMusic/Johnson/01.FantasiaJGtr.iPad,guitarloot,Robert Johnson,Fantasia,7,delcamp:guitarloot,8,dummy-v0,0.007,0.198,0.271,0.158,0.343,0.023
guitarloot:Scores/EnglishMusic/Johnson/02.PavanGtrArr,guitarloot,Robert Johnson,Pavan 02,7,delcamp:guitarloot,9,dummy-v0,0.000,0.005,0.016,0.251,0.304,0.424
guitarloot:Scores/EnglishMusic/Johnson/05.MildmayGtr.Folger,guitarloot,Robert Johnson,Galliard - My Lady Mildemay’s Delight,7,delcamp:guitarloot,7,dummy-v0,0.001,0.055,0.263,0.377,0.304,0.000
guitarloot:Scores/EnglishMusic/Johnson/NobleMensMasqueEGtr,guitarloot,?Robert Johnson,The Noble Man,7,delcamp:guitarloot,8,dummy-v0,0.000,0.047,0.241,0.293,0.407,0.011
guitarloot:Scores/EnglishMusic/Other/10.PavanLupo.Gtr,guitarloot,?Ambrose Lupo,Pavan 10,8,delcamp:guitarloot,6,dummy-v0,0.055,0.025,0.356,0.291,0.271,0.002
guitarloot:Scores/EnglishMusic/Other/32bEnglishHuntsUpp.Gtr,guitarloot,John Whitfield,The English Hunt's Up,8,delcamp:guitarloot,6,dummy-v0,0.050,0.231,0.397,0.128,0.194,0.000
guitarloot:Scores/EnglishMusic/Other/35vDaphneCorridonD,guitarloot,John Whitfield,"Daphne & Corridon (or Tell Me, Daphne)",8,delcamp:guitarloot,8,dummy-v0,0.016,0.058,0.222,0.197,0.477,0.030
guitarloot:Scores/EnglishMusic/Other/Alman90Gtr,guitarloot,Martin Peerson,Alman,7,delcamp:guitarloot,7,dummy-v0,0.024,0.118,0.225,0.327,0.297,0.008
guitarloot:Scores/EnglishMusic/Other/BulmanPavGtr.iPad,guitarloot,Baruch Bulman,Pavan,8,delcamp:guitarloot,8,dummy-v0,0.097,0.050,0.136,0.138,0.306,0.273
guitarloot:Scores/EnglishMusic/Other/Fansyegtr.iPad,guitarloot,Newman,Fansye (Fantasy),8,delcamp:guitarloot,6,dummy-v0,0.005,0.212,0.424,0.256,0.104,0.000
guitarloot:Scores/EnglishMusic/Other/Fantasia4GtrArrF.iPad,guitarloot,Cuthbert Hely,Lute Fantasia 4,8,delcamp:guitarloot,7,dummy-v0,0.000,0.097,0.068,0.490,0.338,0.007
